"SubjectID","Angle","Base factor","Response Time","EstXCoor","EstYCoor","ExpXCoor","ExpYCoor","ExpAngle"
1,60,0.25,12889,830,542,783.4936490538903,550.,60
1,60,0.25,10954,793,535,783.4936490538903,550.,60
1,60,0.25,5100,811,545,783.4936490538903,550.,60
1,60,0.25,5978,780,546,783.4936490538903,550.,60
1,60,0.25,6297,774,533,783.4936490538903,550.,60
1,60,0.25,4946,800,529,783.4936490538903,550.,60
1,60,0.25,4616,781,542,783.4936490538903,550.,60
1,60,0.25,6699,776,539,783.4936490538903,550.,60
1,60,0.25,5261,761,535,783.4936490538903,550.,60
1,60,0.25,5616,736,544,783.4936490538903,550.,60
1,60,1,9857,312,519,133.9745962155614,550.,60
1,60,1,8472,98,472,133.9745962155614,550.,60
1,60,1,6720,36,506,133.9745962155614,550.,60
1,60,1,14770,130,477,133.9745962155614,550.,60
1,60,1,12822,132,502,133.9745962155614,550.,60
1,60,1,9155,86,534,133.9745962155614,550.,60
1,60,1,10361,62,531,133.9745962155614,550.,60
1,60,1,10363,107,490,133.9745962155614,550.,60
1,60,1,4897,40,439,133.9745962155614,550.,60
1,60,1,7564,75,478,133.9745962155614,550.,60
1,60,0.75,8836,422,507,350.480947161671,550.,60
1,60,0.75,8059,384,505,350.480947161671,550.,60
1,60,0.75,8863,306,526,350.480947161671,550.,60
1,60,0.75,7912,324,517,350.480947161671,550.,60
1,60,0.75,7195,275,518,350.480947161671,550.,60
1,60,0.75,4614,298,479,350.480947161671,550.,60
1,60,0.75,5785,355,503,350.480947161671,550.,60
1,60,0.75,5615,416,518,350.480947161671,550.,60
1,60,0.75,4701,409,501,350.480947161671,550.,60
1,60,0.75,5263,278,474,350.480947161671,550.,60
1,60,0.5,6182,596,530,566.9872981077807,550.,60
1,60,0.5,7949,567,528,566.9872981077807,550.,60
1,60,0.5,7827,567,525,566.9872981077807,550.,60
1,60,0.5,7572,586,541,566.9872981077807,550.,60
1,60,0.5,5940,549,537,566.9872981077807,550.,60
1,60,0.5,5917,553,554,566.9872981077807,550.,60
1,60,0.5,10689,565,562,566.9872981077807,550.,60
1,60,0.5,4749,563,513,566.9872981077807,550.,60
1,60,0.5,4957,600,537,566.9872981077807,550.,60
1,60,0.5,5822,476,544,566.9872981077807,550.,60
1,30,0.25,10735,937,542,927.8312163512968,550.,120
1,30,0.25,8240,931,542,927.8312163512968,550.,120
1,30,0.25,5406,931,538,927.8312163512968,550.,120
1,30,0.25,5346,915,539,927.8312163512968,550.,120
1,30,0.25,4300,925,545,927.8312163512968,550.,120
1,30,0.25,4848,931,545,927.8312163512968,550.,120
1,30,0.25,4031,918,552,927.8312163512968,550.,120
1,30,0.25,4582,908,544,927.8312163512968,550.,120
1,30,0.25,4764,916,534,927.8312163512968,550.,120
1,30,0.25,4629,916,542,927.8312163512968,550.,120
1,45,1,7510,514,506,500.,550.,90
1,45,1,8204,521,495,500.,550.,90
1,45,1,8667,500,514,500.,550.,90
1,45,1,5260,456,524,500.,550.,90
1,45,1,5855,352,422,500.,550.,90
1,45,1,6904,481,521,500.,550.,90
1,45,1,4859,371,482,500.,550.,90
1,45,1,6026,477,486,500.,550.,90
1,45,1,4737,452,503,500.,550.,90
