"SubjectID","Angle","Base","Feature","SizeDirection","Manipulation","ExpectedAns","ResponseTime(ms)","GivenAnswer","Correct"
1,"36","0.4","angle","increase","angle","smaller","22048","bigger",0
1,"36","0.4","vertex","decrease","angle","downward","9327","stayPlace",0
1,"36","0.4","angle","decrease","distance","same","7785","same",1
1,"36","0.4","vertex","increase","angle","upward","11721","stayPlace",0
1,"36","0.4","angle","increase","distance","same","9674","smaller",0
1,"36","0.4","vertex","increase","distance","upward","29264","stayPlace",0
1,"36","0.4","angle","decrease","angle","bigger","5825","smaller",0
1,"36","0.4","vertex","decrease","distance","downward","5187","stayPlace",0
2,"36","0.4","angle","decrease","angle","bigger","18167","bigger",1
2,"36","0.4","vertex","increase","distance","upward","8308","downward",0
2,"36","0.4","vertex","decrease","distance","downward","14207","upward",0
2,"36","0.4","angle","decrease","distance","same","6748","smaller",0
2,"36","0.4","vertex","increase","angle","upward","23508","upward",1
2,"36","0.4","vertex","decrease","angle","downward","12828","downward",1
2,"36","0.4","angle","increase","distance","same","19867","bigger",0
2,"36","0.4","angle","increase","angle","smaller","10273","smaller",1
3,"36","0.4","vertex","decrease","angle","downward","31850","upward",0
3,"36","0.4","angle","decrease","distance","same","19523","smaller",0
3,"36","0.4","angle","increase","angle","smaller","12470","bigger",0
3,"36","0.4","vertex","decrease","distance","downward","21418","upward",0
3,"36","0.4","vertex","increase","angle","upward","24258","downward",0
3,"36","0.4","angle","increase","distance","same","10717","bigger",0
3,"36","0.4","angle","decrease","angle","bigger","19487","smaller",0
3,"36","0.4","vertex","increase","distance","upward","39207","downward",0
4,"36","0.4","vertex","decrease","angle","downward","13810","downward",1
4,"36","0.4","angle","decrease","distance","same","29528","smaller",0
4,"36","0.4","angle","decrease","angle","bigger","9527","bigger",1
4,"36","0.4","vertex","increase","angle","upward","8358","upward",1
4,"36","0.4","vertex","increase","distance","upward","9143","stayPlace",0
4,"36","0.4","angle","increase","distance","same","8912","bigger",0
4,"36","0.4","vertex","decrease","distance","downward","26353","stayPlace",0
4,"36","0.4","angle","increase","angle","smaller","8075","bigger",0
5,"36","0.4","angle","decrease","distance","same","49080","same",1
5,"36","0.4","angle","decrease","angle","bigger","11609","bigger",1
5,"36","0.4","angle","increase","distance","same","8203","bigger",0
5,"36","0.4","angle","increase","angle","smaller","9127","smaller",1
5,"36","0.4","vertex","decrease","angle","downward","10443","downward",1
5,"36","0.4","vertex","increase","distance","upward","16598","upward",1
5,"36","0.4","vertex","increase","angle","upward","11624","upward",1
5,"36","0.4","vertex","decrease","distance","downward","16165","upward",0
6,"36","0.4","vertex","increase","distance","upward","27184","stayPlace",0
6,"36","0.4","vertex","decrease","distance","downward","5905","stayPlace",0
